日期,最高气温,最低气温,天气,风向
2020-06-03 星期三,30℃,19℃,阴,南风 2级
2020-06-04 星期四,29℃,19℃,多云,南风 2级
2020-06-05 星期五,33℃,19℃,多云,南风 2级
2020-06-06 星期六,32℃,21℃,多云,东南风 2级
2020-06-07 星期日,28℃,21℃,阴,东北风 2级
2020-06-08 星期一,25℃,21℃,阴,东北风 2级
2020-06-09 星期二,31℃,20℃,晴,南风 2级
2020-06-10 星期三,29℃,19℃,多云,东南风 2级
2020-06-11 星期四,29℃,22℃,阴,东北风 2级
2020-06-12 星期五,30℃,22℃,多云,西北风 1级
2020-06-13 星期六,31℃,23℃,多云,西南风 2级
2020-06-14 星期日,33℃,23℃,多云,西南风 2级
2020-06-15 星期一,31℃,23℃,阴,东南风 2级
2020-06-16 星期二,30℃,23℃,阴,东北风 3级
2020-06-17 星期三,26℃,20℃,阴,西南风 2级
2020-06-18 星期四,31℃,22℃,晴,南风 2级
2020-06-19 星期五,30℃,21℃,阴,东南风 2级
2020-06-20 星期六,28℃,22℃,阴,东风 2级
2020-06-21 星期日,28℃,21℃,阴,西北风 1级
2020-06-22 星期一,28℃,22℃,阴,西风 2级
2020-06-23 星期二,31℃,23℃,多云,南风 2级
2020-06-24 星期三,33℃,22℃,晴,南风 2级
2020-06-25 星期四,35℃,23℃,多云,东南风 2级
2020-06-26 星期五,31℃,21℃,阴,东北风 3级
2020-06-27 星期六,28℃,20℃,多云,东南风 2级
2020-06-28 星期日,31℃,23℃,多云,南风 2级
2020-07-01 星期三,28℃,23℃,多云,东北风 2级
2020-07-02 星期四,34℃,21℃,多云,南风 2级
2020-07-03 星期五,33℃,24℃,阴,东南风 2级
2020-07-04 星期六,27℃,23℃,阴,西风 2级
2020-07-05 星期日,29℃,23℃,阴,东风 2级
2020-07-06 星期一,30℃,23℃,阴,西南风 2级
2020-07-07 星期二,32℃,23℃,阴,东南风 2级
2020-07-08 星期三,32℃,25℃,阴,东南风 2级
2020-07-09 星期四,32℃,25℃,多云,南风 1级
2020-07-10 星期五,26℃,23℃,多云,东北风 2级
2020-07-11 星期六,28℃,22℃,阴,东北风 2级
2020-07-12 星期日,31℃,22℃,阴,西南风 2级
2020-07-13 星期一,30℃,24℃,阴,南风 2级
2020-07-14 星期二,31℃,24℃,阴转雨,东北风 2级
2020-07-15 星期三,28℃,24℃,阴,东北风 2级
2020-07-16 星期四,27℃,22℃,阴,北风 2级
2020-07-17 星期五,34℃,24℃,多云,西南风 2级
2020-07-18 星期六,31℃,23℃,晴,北风 2级
2020-07-19 星期日,33℃,22℃,阴,西南风 2级
2020-07-20 星期一,29℃,23℃,多云,南风 2级
2020-07-21 星期二,25℃,20℃,阴,东北风 2级
2020-07-22 星期三,29℃,22℃,多云,东风 1级
2020-07-23 星期四,31℃,23℃,阴,东北风 2级
2020-07-24 星期五,30℃,23℃,多云,东北风 2级
2020-07-25 星期六,27℃,22℃,多云,东北风 3级
2020-07-26 星期日,34℃,21℃,晴,西南风 2级
2020-07-27 星期一,33℃,23℃,晴,南风 2级
2020-07-28 星期二,34℃,23℃,阴,东北风 2级
2020-08-01 星期六,29℃,23℃,阴,东北风 1级
2020-08-02 星期日,29℃,23℃,多云,东北风 1级
2020-08-03 星期一,32℃,23℃,多云,东南风 1级
2020-08-04 星期二,33℃,23℃,多云,东北风 2级
2020-08-05 星期三,33℃,26℃,阴,东北风 2级
2020-08-06 星期四,34℃,26℃,阴,东北风 2级
2020-08-07 星期五,28℃,25℃,阴,东北风 2级
2020-08-08 星期六,34℃,24℃,晴,南风 1级
2020-08-09 星期日,35℃,24℃,多云,东南风 1级
2020-08-10 星期一,34℃,25℃,多云,东风 1级
2020-08-11 星期二,27℃,24℃,阴,北风 3级
2020-08-12 星期三,26℃,21℃,多云,东北风 3级
2020-08-13 星期四,25℃,20℃,阴,东北风 2级
2020-08-14 星期五,31℃,22℃,阴到小雨,东北风 2级
2020-08-15 星期六,26℃,22℃,小雨,东北风 3级
2020-08-16 星期日,25℃,22℃,小雨到暴风雨,东北风 3级
2020-08-17 星期一,26℃,21℃,小雨到中雨,北风 3级
2020-08-18 星期二,23℃,19℃,阴,西风 2级
2020-08-19 星期三,26℃,19℃,多云,东南风 1级
2020-08-20 星期四,28℃,20℃,晴,南风 1级
2020-08-21 星期五,30℃,21℃,阴,南风 1级
2020-08-22 星期六,27℃,23℃,小雨,北风 2级
2020-08-23 星期日,28℃,23℃,多云,东北风 2级
2020-08-24 星期一,30℃,19℃,晴,西南风 3级
2020-08-25 星期二,31℃,21℃,晴,西南风 1级
2020-08-26 星期三,33℃,22℃,晴,南风 2级
2020-08-27 星期四,32℃,22℃,多云,东南风 1级
2020-08-28 星期五,32℃,23℃,阴,东北风 2级
2020-09-01 星期二,28℃,21℃,多云,东北风 2级
2020-09-02 星期三,32℃,22℃,晴,北风 1级
2020-09-03 星期四,30℃,21℃,多云,东北风 1级
2020-09-04 星期五,28℃,22℃,晴,东风 1级
2020-09-05 星期六,24℃,20℃,阴,北风 2级
2020-09-06 星期日,30℃,20℃,晴,西南风 2级
2020-09-07 星期一,32℃,21℃,多云,南风 2级
2020-09-08 星期二,29℃,22℃,多云,西风 1级
2020-09-09 星期三,25℃,21℃,多云,东北风 2级
2020-09-10 星期四,28℃,21℃,阴,东北风 1级
2020-09-11 星期五,26℃,18℃,阴,北风 2级
2020-09-12 星期六,22℃,17℃,阴,东北风 2级
2020-09-13 星期日,24℃,17℃,阴,北风 2级
2020-09-14 星期一,26℃,18℃,多云,东北风 1级
2020-09-15 星期二,25℃,19℃,阴,东北风 1级
2020-09-16 星期三,22℃,19℃,阴,东北风 2级
2020-09-17 星期四,27℃,15℃,晴,西风 2级
2020-09-18 星期五,24℃,17℃,阴,东风 1级
2020-09-19 星期六,25℃,18℃,阴,东北风 2级
2020-09-20 星期日,19℃,17℃,多云,东北风 2级
2020-09-21 星期一,21℃,17℃,阴,东北风 2级
2020-09-22 星期二,26℃,18℃,多云,西南风 1级
2020-09-23 星期三,27℃,17℃,阴,南风 2级
2020-09-24 星期四,23℃,17℃,阴,东北风 2级
2020-09-25 星期五,20℃,16℃,阴,东北风 3级
2020-09-26 星期六,19℃,16℃,阴,东北风 2级
2020-09-27 星期日,21℃,16℃,阴,东北风 2级
2020-09-28 星期一,20℃,17℃,多云,东北风 2级
2020-10-01 星期四,23℃,17℃,小雨,北风 2级
2020-10-02 星期五,22℃,17℃,阴,东北风 2级
2020-10-03 星期六,22℃,16℃,阴,西南风 1级
2020-10-04 星期日,20℃,13℃,阴,东南风 2级
2020-10-05 星期一,17℃,12℃,阴,东北风 2级
2020-10-06 星期二,17℃,13℃,阴,东北风 2级
2020-10-07 星期三,21℃,14℃,阴,南风 1级
2020-10-08 星期四,19℃,14℃,多云,东风 2级
2020-10-09 星期五,20℃,14℃,阴,东风 1级
2020-10-10 星期六,21℃,15℃,多云,东南风 1级
2020-10-11 星期日,20℃,15℃,阴,东南风 1级
2020-10-12 星期一,18℃,14℃,阴,东北风 2级
2020-10-13 星期二,18℃,14℃,阴,东北风 2级
2020-10-14 星期三,18℃,13℃,阴,北风 2级
2020-10-15 星期四,18℃,12℃,阴,东风 1级
2020-10-16 星期五,22℃,12℃,阴,东南风 2级
2020-10-17 星期六,20℃,11℃,多云转雨,东风 2级
2020-10-18 星期日,18℃,12℃,阴,东北风 2级
2020-10-19 星期一,20℃,12℃,阴,东南风 1级
2020-10-20 星期二,16℃,12℃,多云,西北风 2级
2020-10-21 星期三,23℃,12℃,晴,南风 2级
2020-10-22 星期四,22℃,11℃,晴,南风 1级
2020-10-23 星期五,21℃,14℃,阴,东南风 1级
2020-10-24 星期六,19℃,15℃,多云,东北风 2级
2020-10-25 星期日,20℃,16℃,多云,东北风 2级
2020-10-26 星期一,20℃,16℃,阴,南风 1级
2020-10-27 星期二,16℃,13℃,阴,东北风 3级
2020-10-28 星期三,17℃,12℃,晴,东风 2级
2020-11-01 星期日,19℃,12℃,多云,东南风 1级
2020-11-02 星期一,21℃,13℃,阴,东南风 2级
2020-11-03 星期二,17℃,12℃,阴,东风 2级
2020-11-04 星期三,15℃,11℃,阴,东北风 2级
2020-11-05 星期四,15℃,13℃,阴,北风 1级
2020-11-06 星期五,21℃,13℃,晴,南风 2级
2020-11-07 星期六,23℃,12℃,晴,东南风 1级
2020-11-08 星期日,23℃,14℃,阴,南风 1级
2020-11-09 星期一,23℃,13℃,多云,南风 2级
2020-11-10 星期二,21℃,15℃,多云,东南风 1级
2020-11-11 星期三,22℃,15℃,多云,东北风 1级
2020-11-12 星期四,22℃,15℃,多云,东北风 1级
2020-11-13 星期五,19℃,15℃,阴,东北风 1级
2020-11-14 星期六,22℃,15℃,多云,东北风 1级
2020-11-15 星期日,22℃,15℃,多云,东北风 2级
2020-11-16 星期一,20℃,15℃,多云,东北风 2级
2020-11-17 星期二,21℃,13℃,多云,北风 2级
2020-11-18 星期三,21℃,12℃,阴,西南风 2级
2020-11-19 星期四,23℃,13℃,多云,东北风 2级
2020-11-20 星期五,20℃,12℃,多云,东北风 2级
2020-11-21 星期六,13℃,7℃,阴,东北风 3级
2020-11-22 星期日,9℃,4℃,阴,东北风 2级
2020-11-23 星期一,10℃,4℃,多云,东北风 2级
2020-11-24 星期二,10℃,5℃,阴,东北风 2级
2020-11-25 星期三,12℃,7℃,多云,东北风 1级
2020-11-26 星期四,14℃,8℃,阴,东风 1级
2020-11-27 星期五,11℃,7℃,阴,东风 1级
2020-11-28 星期六,12℃,4℃,多云,东风 2级
2020-12-01 星期二,10℃,6℃,阴,东北风 2级
2020-12-02 星期三,10℃,5℃,阴,东北风 2级
2020-12-03 星期四,8℃,3℃,阴,东北风 3级
2020-12-04 星期五,7℃,3℃,阴,东北风 2级
2020-12-05 星期六,8℃,4℃,阴,东北风 1级
2020-12-06 星期日,9℃,6℃,阴,东北风 2级
2020-12-07 星期一,9℃,5℃,多云,东北风 1级
2020-12-08 星期二,12℃,5℃,阴,东南风 1级
2020-12-09 星期三,9℃,6℃,多云,东北风 2级
2020-12-10 星期四,11℃,6℃,阴,东风 2级
2020-12-11 星期五,12℃,6℃,多云,东北风 1级
2020-12-12 星期六,11℃,7℃,阴,东南风 2级
2020-12-13 星期日,9℃,3℃,阴,东北风 2级
2020-12-14 星期一,6℃,1℃,阴,东北风 3级
2020-12-15 星期二,5℃,3℃,阴,东北风 2级
2020-12-16 星期三,6℃,2℃,阴,东北风 1级
2020-12-17 星期四,5℃,3℃,多云,北风 2级
2020-12-18 星期五,9℃,3℃,多云,东风 2级
2020-12-19 星期六,9℃,1℃,多云,东风 1级
2020-12-20 星期日,10℃,1℃,晴,南风 1级
2020-12-21 星期一,9℃,4℃,多云,南风 1级
2020-12-22 星期二,8℃,3℃,多云,南风 1级
2020-12-23 星期三,12℃,2℃,晴,南风 2级
2020-12-24 星期四,12℃,4℃,阴,东风 1级
2020-12-25 星期五,12℃,5℃,霾,东风 1级
2020-12-26 星期六,12℃,3℃,霾,南风 1级
2020-12-27 星期日,12℃,5℃,霾,东南风 1级
2020-12-28 星期一,9℃,4℃,霾,东北风 1级
2019-01-01 星期二,5℃,1℃,多云,西北风 2级
2019-01-02 星期三,5℃,1℃,多云,西北风 2级
2019-01-03 星期四,5℃,0℃,多云,南风 1级
2019-01-04 星期五,9℃,2℃,多云,西北风 2级
2019-01-05 星期六,9℃,1℃,多云,西北风 2级
2019-01-06 星期日,7℃,3℃,多云,北风 2级
2019-01-07 星期一,11℃,4℃,晴,西北风 2级
2019-01-08 星期二,8℃,4℃,多云,西北风 2级
2019-01-09 星期三,7℃,3℃,多云,北风 2级
2019-01-10 星期四,8℃,3℃,晴,北风 2级
2019-01-11 星期五,11℃,3℃,多云,西风 2级
2019-01-12 星期六,11℃,1℃,晴,西北风 2级
2019-01-13 星期日,11℃,2℃,多云,西北风 2级
2019-01-14 星期一,11℃,5℃,晴,西北风 2级
2019-01-15 星期二,11℃,5℃,晴,北风 2级
2019-01-16 星期三,10℃,2℃,多云,西北风 2级
2019-01-17 星期四,9℃,4℃,阴,西北风 2级
2019-01-18 星期五,9℃,4℃,晴,北风 2级
2019-01-19 星期六,12℃,3℃,晴,西北风 2级
2019-01-20 星期日,12℃,4℃,晴,北风 2级
2019-01-21 星期一,11℃,4℃,晴,西北风 2级
2019-01-22 星期二,12℃,3℃,晴,西风 2级
2019-01-23 星期三,12℃,3℃,晴,西北风 2级
2019-01-24 星期四,13℃,5℃,多云,北风 2级
2019-01-25 星期五,14℃,6℃,多云,西北风 2级
2019-01-26 星期六,10℃,7℃,霾,北风 2级
2019-01-27 星期日,8℃,7℃,多云,北风 2级
2019-01-28 星期一,10℃,6℃,阴,西北风 2级
2019-02-01 星期五,9℃,5℃,多云,西北风 2级
2019-02-02 星期六,9℃,3℃,晴,西北风 2级
2019-02-03 星期日,14℃,4℃,晴,西北风 2级
2019-02-04 星期一,13℃,4℃,晴,西北风 2级
2019-02-05 星期二,16℃,6℃,晴,西北风 2级
2019-02-06 星期三,14℃,5℃,晴,北风 2级
2019-02-07 星期四,17℃,10℃,晴,西北风 2级
2019-02-08 星期五,12℃,8℃,多云,北风 3级
2019-02-09 星期六,8℃,4℃,阴,北风 3级
2019-02-10 星期日,8℃,2℃,小雨,北风 3级
2019-02-11 星期一,11℃,1℃,多云,西北风 2级
2019-02-12 星期二,11℃,3℃,晴,西北风 2级
2019-02-13 星期三,13℃,3℃,多云,西北风 2级
2019-02-14 星期四,12℃,5℃,晴,北风 3级
2019-02-15 星期五,12℃,7℃,阴,北风 2级
2019-02-16 星期六,10℃,5℃,小雨,北风 2级
2019-02-17 星期日,6℃,4℃,小雨,北风 3级
2019-02-18 星期一,8℃,3℃,多云,北风 2级
2019-02-19 星期二,8℃,3℃,阴,西北风 2级
2019-02-20 星期三,11℃,3℃,多云,西北风 2级
2019-02-21 星期四,13℃,4℃,多云,西北风 2级
2019-02-22 星期五,11℃,6℃,多云,北风 2级
2019-02-23 星期六,11℃,7℃,小雨,北风 2级
2019-02-24 星期日,9℃,7℃,小雨到中雨,北风 2级
2019-02-25 星期一,10℃,7℃,小雨,西北风 2级
2019-02-26 星期二,11℃,7℃,小雨,北风 2级
2019-02-27 星期三,12℃,6℃,阴,北风 2级
2019-02-28 星期四,10℃,7℃,小雨,西北风 2级
2019-03-01 星期五,11℃,8℃,多云,北风 2级
2019-03-02 星期六,15℃,6℃,晴,西北风 2级
2019-03-03 星期日,16℃,6℃,阴,西北风 2级
2019-03-04 星期一,16℃,5℃,多云,北风 2级
2019-03-05 星期二,17℃,11℃,阴,西北风 2级
2019-03-06 星期三,15℃,10℃,小雨,东北风 2级
2019-03-07 星期四,11℃,8℃,小雨,东北风 3级
2019-03-08 星期五,10℃,7℃,多云,北风 2级
2019-03-09 星期六,17℃,6℃,晴,西风 2级
2019-03-10 星期日,19℃,9℃,晴,西北风 1级
2019-03-11 星期一,19℃,10℃,晴,西风 2级
2019-03-12 星期二,18℃,12℃,多云,西北风 2级
2019-03-13 星期三,18℃,12℃,晴,东北风 3级
2019-03-14 星期四,17℃,10℃,晴,西北风 2级
2019-03-15 星期五,17℃,9℃,阴,西南风 2级
2019-03-16 星期六,15℃,10℃,小雨,西北风 1级
2019-03-17 星期日,17℃,8℃,多云,西北风 2级
2019-03-18 星期一,17℃,11℃,多云,西风 2级
2019-03-19 星期二,19℃,12℃,小雨,西北风 2级
2019-03-20 星期三,24℃,12℃,晴,北风 2级
2019-03-21 星期四,18℃,12℃,小雨,东北风 2级
2019-03-22 星期五,15℃,10℃,晴,北风 2级
2019-03-23 星期六,16℃,8℃,小雨,东北风 2级
2019-03-24 星期日,15℃,6℃,晴,西北风 1级
2019-03-25 星期一,19℃,7℃,多云,西北风 1级
2019-03-26 星期二,19℃,11℃,晴,西风 2级
2019-03-27 星期三,24℃,13℃,多云,北风 2级
2019-03-28 星期四,27℃,14℃,晴,西南风 2级
2019-04-01 星期一,17℃,12℃,多云,东南风 2级
2019-04-02 星期二,20℃,12℃,多云,东北风 2级
2019-04-03 星期三,18℃,12℃,小雨,东北风 2级
2019-04-04 星期四,21℃,12℃,晴,西风 2级
2019-04-05 星期五,27℃,13℃,晴,西南风 2级
2019-04-06 星期六,28℃,14℃,晴,南风 1级
2019-04-07 星期日,29℃,16℃,晴,东北风 2级
2019-04-08 星期一,29℃,17℃,晴,北风 3级
2019-04-09 星期二,29℃,19℃,晴,东风 2级
2019-04-10 星期三,22℃,15℃,阴,东北风 3级
2019-04-11 星期四,23℃,15℃,多云,北风 2级
2019-04-12 星期五,21℃,15℃,多云,北风 2级
2019-04-13 星期六,22℃,15℃,晴,北风 2级
2019-04-14 星期日,24℃,15℃,晴,北风 2级
2019-04-15 星期一,21℃,14℃,晴,北风 2级
2019-04-16 星期二,27℃,15℃,晴,西南风 2级
2019-04-17 星期三,27℃,16℃,晴,东北风 2级
2019-04-18 星期四,28℃,17℃,晴,北风 2级
2019-04-19 星期五,26℃,19℃,多云转雨,东北风 2级
2019-04-20 星期六,23℃,16℃,晴转多云,北风 3级
2019-04-21 星期日,28℃,17℃,晴转多云,西南风 1级
2019-04-22 星期一,28℃,17℃,晴转多云,东北风 2级
2019-04-23 星期二,30℃,18℃,晴转多云,西北风 1级
2019-04-24 星期三,30℃,20℃,晴转多云,北风 1级
2019-04-25 星期四,33℃,21℃,晴转多云,南风 2级
2019-04-26 星期五,31℃,22℃,多云转雨,东北风 2级
2019-04-27 星期六,27℃,20℃,多云转雨,东北风 3级
2019-04-28 星期日,23℃,18℃,阴,东北风 2级
2019-05-01 星期三,25℃,16℃,阴转雨,北风 2级
2019-05-02 星期四,22℃,16℃,多云转雨,东北风 1级
2019-05-03 星期五,23℃,16℃,小雨转雨,北风 2级
2019-05-04 星期六,24℃,16℃,阴转雨,北风 2级
2019-05-05 星期日,22℃,17℃,多云转雨,北风 2级
2019-05-06 星期一,20℃,15℃,小雨到中雨,东北风 3级
2019-05-07 星期二,15℃,13℃,阴转雨,东北风 3级
2019-05-08 星期三,20℃,12℃,小雨到中雨,北风 2级
2019-05-09 星期四,25℃,15℃,晴转多云,西风 2级
2019-05-10 星期五,26℃,15℃,多云,西风 2级
2019-05-11 星期六,27℃,17℃,中雨转雨,西北风 2级
2019-05-12 星期日,24℃,15℃,小雨到大雨,西北风 2级
2019-05-13 星期一,25℃,15℃,多云,东北风 2级
2019-05-14 星期二,25℃,17℃,阴转多云,北风 2级
2019-05-15 星期三,28℃,18℃,晴转多云,东北风 2级
2019-05-16 星期四,29℃,19℃,小雨转多云,东南风 2级
2019-05-17 星期五,29℃,21℃,阴转雨,东风 2级
2019-05-18 星期六,29℃,20℃,多云转雨,东北风 2级
2019-05-19 星期日,24℃,18℃,小雨到大雨,北风 2级
2019-05-20 星期一,22℃,16℃,阴转多云,东南风 2级
2019-05-21 星期二,26℃,14℃,晴转多云,北风 1级
2019-05-22 星期三,30℃,17℃,晴转多云,南风 2级
2019-05-23 星期四,29℃,17℃,晴转多云,西南风 1级
2019-05-24 星期五,26℃,19℃,多云转阴,北风 2级
2019-05-25 星期六,28℃,20℃,晴,东南风 1级
2019-05-26 星期日,31℃,22℃,晴转多云,北风 1级
2019-05-27 星期一,25℃,18℃,晴转多云,东北风 3级
2019-05-28 星期二,20℃,16℃,多云,东北风 2级
2019-06-01 星期六,30℃,19℃,晴,西南风 2级
2019-06-02 星期日,31℃,18℃,晴转多云,南风 2级
2019-06-03 星期一,32℃,20℃,晴,南风 1级
2019-06-04 星期二,30℃,22℃,小雨转雨,东北风 2级
2019-06-05 星期三,32℃,20℃,晴转多云,东北风 2级
2019-06-06 星期四,30℃,23℃,晴转多云,西南风 2级
2019-06-07 星期五,28℃,21℃,阴,北风 1级
2019-06-08 星期六,28℃,21℃,阴,东北风 1级
2019-06-09 星期日,28℃,22℃,晴转多云,东南风 1级
2019-06-10 星期一,29℃,21℃,多云,东北风 2级
2019-06-11 星期二,26℃,21℃,多云转阴,东北风 3级
2019-06-12 星期三,30℃,20℃,晴转多云,西风 1级
2019-06-13 星期四,30℃,21℃,晴转多云,南风 2级
2019-06-14 星期五,25℃,22℃,阴转雨,北风 2级
2019-06-15 星期六,23℃,20℃,多云转阴,东北风 3级
2019-06-16 星期日,26℃,19℃,晴转多云,北风 2级
2019-06-17 星期一,25℃,21℃,晴转多云,东风 2级
2019-06-18 星期二,26℃,20℃,阴,东南风 1级
2019-06-19 星期三,27℃,21℃,多云,东风 2级
2019-06-20 星期四,29℃,22℃,晴,东北风 2级
2019-06-21 星期五,30℃,24℃,多云转雨,东北风 2级
2019-06-22 星期六,27℃,23℃,多云,东北风 3级
2019-06-23 星期日,28℃,22℃,多云转阴,东北风 2级
2019-06-24 星期一,27℃,20℃,阴转雨,东北风 2级
2019-06-25 星期二,25℃,21℃,多云转阴,东北风 1级
2019-06-26 星期三,25℃,22℃,阴转雨,东风 2级
2019-06-27 星期四,28℃,20℃,多云,东北风 2级
2019-06-28 星期五,26℃,21℃,晴转多云,西南风 2级
2019-07-01 星期一,33℃,23℃,晴转多云,东南风 2级
2019-07-02 星期二,31℃,22℃,晴转雨,东风 2级
2019-07-03 星期三,25℃,19℃,阴转雨,西风 2级
2019-07-04 星期四,26℃,20℃,晴转多云,西南风 2级
2019-07-05 星期五,31℃,20℃,晴转多云,南风 2级
2019-07-06 星期六,31℃,21℃,阴,南风 1级
2019-07-07 星期日,26℃,21℃,小雨转雨,南风 2级
2019-07-08 星期一,27℃,19℃,阴,东风 2级
2019-07-09 星期二,29℃,20℃,小雨到中雨,东南风 2级
2019-07-10 星期三,28℃,21℃,多云转雨,南风 2级
2019-07-11 星期四,23℃,20℃,晴转多云,北风 3级
2019-07-12 星期五,29℃,20℃,晴转多云,西风 2级
2019-07-13 星期六,32℃,23℃,晴转多云,南风 2级
2019-07-14 星期日,31℃,23℃,阴转雨,南风 1级
2019-07-15 星期一,25℃,21℃,阴转雨,西风 1级
2019-07-16 星期二,26℃,20℃,晴转多云,北风 2级
2019-07-17 星期三,31℃,21℃,晴转雨,北风 2级
2019-07-18 星期四,31℃,23℃,多云转雨,东北风 2级
2019-07-19 星期五,30℃,23℃,多云转雨,东北风 2级
2019-07-20 星期六,32℃,24℃,多云,西风 1级
2019-07-21 星期日,32℃,23℃,小雨到中雨,东风 1级
2019-07-22 星期一,27℃,22℃,阴,北风 3级
2019-07-23 星期二,30℃,23℃,多云转雨,南风 1级
2019-07-24 星期三,30℃,22℃,阴,北风 1级
2019-07-25 星期四,34℃,24℃,晴转多云,南风 2级
2019-07-26 星期五,34℃,23℃,阴转雨,南风 1级
2019-07-27 星期六,32℃,26℃,阴转雨,东北风 2级
2019-07-28 星期日,32℃,25℃,阴转雨,东北风 2级
2019-08-01 星期四,31℃,22℃,多云转雨,东南风 1级
2019-08-02 星期五,30℃,22℃,多云转雨,东北风 2级
2019-08-03 星期六,30℃,23℃,多云转雨,东北风 2级
2019-08-04 星期日,31℃,23℃,多云转雨,东风 2级
2019-08-05 星期一,27℃,22℃,多云转雨,东北风 2级
2019-08-06 星期二,25℃,21℃,晴,北风 2级
2019-08-07 星期三,32℃,22℃,晴转多云,西南风 1级
2019-08-08 星期四,32℃,23℃,多云转雨,东北风 2级
2019-08-09 星期五,33℃,23℃,晴转多云,西风 2级
2019-08-10 星期六,32℃,23℃,晴,西南风 2级
2019-08-11 星期日,33℃,24℃,晴,西南风 2级
2019-08-12 星期一,33℃,24℃,晴,东南风 2级
2019-08-13 星期二,34℃,25℃,晴转雨,东北风 2级
2019-08-14 星期三,34℃,24℃,晴,西风 3级
2019-08-15 星期四,32℃,23℃,晴,南风 2级
2019-08-16 星期五,33℃,23℃,晴,南风 2级
2019-08-17 星期六,34℃,23℃,晴转多云,东风 2级
2019-08-18 星期日,32℃,26℃,多云转雨,东北风 2级
2019-08-19 星期一,29℃,23℃,阴转雨,北风 2级
2019-08-20 星期二,30℃,23℃,晴转雨,东北风 2级
2019-08-21 星期三,32℃,24℃,多云,东北风 3级
2019-08-22 星期四,32℃,22℃,多云转雨,东北风 2级
2019-08-23 星期五,33℃,23℃,多云,东南风 2级
2019-08-24 星期六,34℃,24℃,晴转多云,东北风 2级
2019-08-25 星期日,34℃,24℃,晴,东北风 1级
2019-08-26 星期一,33℃,25℃,阴转雨,东北风 2级
2019-08-27 星期二,33℃,24℃,晴转多云,西北风 2级
2019-08-28 星期三,32℃,23℃,晴转多云,东风 2级
2019-09-01 星期日,26℃,18℃,晴转多云,东南风 1级
2019-09-02 星期一,24℃,20℃,多云转雨,东北风 2级
2019-09-03 星期二,23℃,19℃,阴转雨,北风 2级
2019-09-04 星期三,24℃,19℃,多云,东北风 2级
2019-09-05 星期四,27℃,20℃,晴转多云,东风 2级
2019-09-06 星期五,27℃,21℃,多云转雨,东北风 2级
2019-09-07 星期六,25℃,21℃,多云,东北风 2级
2019-09-08 星期日,26℃,21℃,多云,东北风 3级
2019-09-09 星期一,27℃,21℃,多云转雨,东北风 2级
2019-09-10 星期二,25℃,21℃,多云转阴,东北风 3级
2019-09-11 星期三,28℃,22℃,多云转阴,北风 2级
2019-09-12 星期四,29℃,23℃,小雨到中雨,东北风 2级
2019-09-13 星期五,24℃,17℃,小雨到暴雨,东北风 3级
2019-09-14 星期六,22℃,17℃,多云转雨,南风 1级
2019-09-15 星期日,21℃,17℃,多云转雨,南风 1级
2019-09-16 星期一,24℃,18℃,多云转阴,东风 1级
2019-09-17 星期二,22℃,18℃,晴转多云,东北风 1级
2019-09-18 星期三,25℃,18℃,多云,东南风 2级
2019-09-19 星期四,21℃,18℃,晴转多云,东北风 2级
2019-09-20 星期五,25℃,18℃,晴转多云,西南风 2级
2019-09-21 星期六,27℃,18℃,晴转多云,东南风 2级
2019-09-22 星期日,27℃,18℃,晴转多云,东南风 2级
2019-09-23 星期一,23℃,18℃,多云转雨,东北风 2级
2019-09-24 星期二,21℃,16℃,晴转多云,西南风 2级
2019-09-25 星期三,25℃,16℃,晴,南风 2级
2019-09-26 星期四,22℃,16℃,晴转多云,北风 1级
2019-09-27 星期五,24℃,18℃,晴转多云,南风 1级
2019-09-28 星期六,26℃,18℃,多云,南风 1级
2019-10-01 星期二,24℃,19℃,晴转多云,东北风 2级
2019-10-02 星期三,24℃,19℃,阴,北风 2级
2019-10-03 星期四,23℃,19℃,多云,北风 2级
2019-10-04 星期五,25℃,19℃,晴转多云,北风 2级
2019-10-05 星期六,26℃,19℃,多云,东南风 2级
2019-10-06 星期日,22℃,18℃,晴转多云,东北风 2级
2019-10-07 星期一,22℃,17℃,小雨转阴,南风 1级
2019-10-08 星期二,21℃,15℃,多云,东风 2级
2019-10-09 星期三,20℃,16℃,晴转多云,东北风 2级
2019-10-10 星期四,22℃,17℃,晴转多云,南风 2级
2019-10-11 星期五,24℃,16℃,晴转多云,东南风 2级
2019-10-12 星期六,24℃,17℃,晴转多云,东南风 2级
2019-10-13 星期日,22℃,17℃,阴转雨,东风 2级
2019-10-14 星期一,20℃,15℃,小雨转阴,东北风 2级
2019-10-15 星期二,19℃,15℃,阴,东北风 2级
2019-10-16 星期三,20℃,15℃,阴转雨,北风 2级
2019-10-17 星期四,21℃,15℃,晴,西南风 2级
2019-10-18 星期五,22℃,15℃,多云,南风 2级
2019-10-19 星期六,20℃,15℃,晴转雨,东风 1级
2019-10-20 星期日,20℃,15℃,多云转雨,西北风 1级
2019-10-21 星期一,17℃,15℃,阴转雨,东北风 1级
2019-10-22 星期二,20℃,15℃,多云,东北风 2级
2019-10-23 星期三,21℃,16℃,阴转雨,东北风 2级
2019-10-24 星期四,17℃,12℃,小雨到大雨,东北风 3级
2019-10-25 星期五,15℃,12℃,小雨到中雨,东北风 1级
2019-10-26 星期六,15℃,11℃,多云转阴,东北风 2级
